ID,Name,Year,IMDB Score,Budget,Length,Gross Worldwide,Oscar Nominations,Oscar Wins,Music By,Cinematography By,Film Editor,Music Nomination,Cinematography Nomination,Editing Nomination,Music Won,Cinematography Won,Editing Won,Cast,Oscar Details
1,Following,1998,7.5,6000,69,48482,0,0,David Julyan,Christopher Nolan,"Gareth Heal, Christopher Nolan",0,0,0,0,0,0,"Jeremy Theobald,Alex Haw,Lucy Russell,John Nolan,Dick Bradsell,Gillian El-Kadi,Jennifer Ange,Nicolas Carlotti,Darren Ormandy,Guy Greenway,Tassos Stevens,Tristan Martin,Rebecca James,Paul Mason,David Bovill,John Bengue,Ivan Cornell,Jane Hunter,Matthew Jones,David Julyan,David Lloyd,Alberto Mattiussi,Brendan Nolan,Barbara Stepansky,Emma Thomas,Diane Zack",
2,Memento,2000,8.4,9000000,113,39723096,2,0,David Julyan,Wally Pfister,Dody Dorn,0,0,1,0,0,0,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,Russ Fega,Jorja Fox,Stephen Tobolowsky,Harriet Sansom Harris, Thomas Lennon,Callum Keith Rennie,Kimberly Campbell,Marianne Muellerleile,Larry Holden","Best Writing - Screenplay Written Directly for the Screen, Best Film Editing (Christopher Nolan & Jonathan Nolan (story))"
3,Insomnia,2002,7.2,46000000,118,113758770,0,0,David Julyan,Wally Pfister,Dody Dorn,0,0,0,0,0,0,"Al Pacino,Martin Donovan,Oliver 'Ole' Zemen,Hilary Swank,Paul Dooley,Nicky Katt,Larry Holden,Jay Brazeau,Lorne Cardinal,James Hutson,Andrew Campbell,Paula Shaw,Yan-Kay Crystal Lowe,Tasha Simms,Maura Tierney,Jonathan Jackson,Malcolm Boddington,Katharine Isabelle,Robin Williams,Kerry Sandomirsky,Chris Gauthier,Ian Tracey,Kate Robbins,Emily Perkins,Dean Wray",
4,Batman Begins,2005,8.2,150000000,140,373413297,1,0,"Hans Zimmer, James Newton Howard",Wally Pfister,Lee Smith,0,1,0,0,0,0,"Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,Gary Oldman,Cillian Murphy,Tom Wilkinson,Rutger Hauer,Ken Watanabe,Mark Boone Junior,Linus Roache,Morgan Freeman,Larry Holden,Gerard Murphy,Colin McFarlane,Sara Stewart,Gus Lewis,Richard Brake,Rade Serbedzija,Emma Lockhart,Christine Adams,Catherine Porter,John Nolan,Karen David,Jonathan D. Ellis,Tamer Hassan,Ronan Leahy,Vincent Wong,Tom Wu,Mark Chiu,Turbo Kong,Sai-Kit Yung,Chike Chan,Tenzin Clive Ball,Tenzin Gyurme,Jamie Hayden,David Murray,John Kazek,Darragh Kelly,Patrick Nolan,Joseph Rye,Kwaku Ankomah,Jo Martin,Charles Edwards,Lucy Russell,Timothy Deenihan,David Bedella,Flavia Masetto,Emily Steven-Daly,Martin McDougall,Noah Lee Margetts,Joe Hanley,Karl Shiels,Roger Griffiths,Stephen Walters,Richard Laing,Matt Miller,Risteard Cooper,Shane Rimmer,Jeremy Theobald,Alexandra Bastedo,Soo Hee Ding,Conn Horgan,Phill Curr,Jack Gleeson,John Judd,Sarah Wateridge,Charlie Kranz,Terry McMahon,Cedric Young,Tim Booth,Tom Nolan,Leon Delroy Williams,Roger Yuan,Joe Sargent,Mel Taylor,Ilyssa Fradin,Andrew Pleavin,Jeff Christian,John Burke,Earlene Bentley,Alex Moggridge,Jay Buozzi,Jordan Shaw,Omar Mostafa,Patrick Pond,Poppy Tierney,Rory Campbell,Fabio Cardascia,Spencer Wilding,Mark Rhino Smith,Khan Bonfils,Dave Legeno,Ruben Halse,Rodney Ryan,Dominic Burgess,Nadia Cameron-Blakey,Mark Straker,T.J. Ramini,Kieran Hurley,Emmanuel Idowu,Jeff Tanner",Best Achievement in Cinematography (Wally Pfister)
5,The Prestige,2006,8.5,40000000,130,109676311,2,0,David Julyan,Wally Pfister,Lee Smith,0,1,0,0,0,0,"Hugh Jackman,Christian Bale,Michael Caine,Piper Perabo,Rebecca Hall,Scarlett Johansson,Samantha Mahurin,David Bowie,Andy Serkis,Daniel Davis,Jim Piddock,Christopher Neame,Mark Ryan,Roger Rees,Jamie Harris,Monty Stuart,Ron Perkins,Ricky Jay,J. Paul Moore,Anthony De Marco,Chao Li Chi,Gregory Humphreys,John B. Crye,William Morgan Sheppard,Sean Howse,Julia Sanford,Ezra Buzzington,James Lancaster,Olivia Merg,Zoe Merg,Johnny Liska,Russ Fega,Kevin Will,Edward Hibbert,Christopher Judges,James Otis,Sam Menning,Brian Tahash,Scott Davis,Jodi Bianca Wise,Nikki Glick,Enn Reitel,Clive Kennedy,Robert W. Arbogast,Chris Cleveland","Best Achievement in Cinematography (Wally Pfister), Best Achievement in Art Direction"
6,The Dark Knight,2008,9,185000000,152,1004934033,6,2,"Hans Zimmer, James Newton Howard",Wally Pfister,Lee Smith,0,1,1,0,0,0,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal,Gary Oldman,Morgan Freeman,Monique Gabriela Curnen,Ron Dean,Cillian Murphy,Chin Han,Nestor Carbonell,Eric Roberts,Ritchie Coster,Anthony Michael Hall,Keith Szarabajka,Colin McFarlane,Joshua Harto,Melinda McGraw,Nathan Gamble,Michael Vieau,Michael Stoyanov,William Smillie,Danny Goldring,Michael Jai White,Matthew O'Neill,William Fichtner,Olumiji Olawumi,Greg Beam,Erik Hellman,Beatrice Rosen,Vincenzo Nicoli,Edison Chen,Nydia Rodriguez Terracina,Andy Luther,James Farruggio,Tom McElroy,Will Zahrn,James Fierro,Patrick Leahy,Sam Derence,Jennifer Knox,Patrick Clear,Sarah Jayne Dunn,Charles Venn,Winston Ellis,David Dastmalchian,Sophia Hinshelwood,Keith Kupferer,Joseph Luis Caballero,Richard Dillane,Daryl Satcher,Chris Petschler,Aidan Feore,Philip Bulcock,Paul Birchard,Walter Lewis,Vincent Riotta,Nancy Crane,K. Todd Freeman,Matt Shallenberger,Michael Andrew Gorman,Lanny Lutz,Peter DeFaria,Matt Rippy,Andrew Bicknell,Ariyon Bakare,Doug Ballard,Helene Maksoud,Tommy Campbell,Craig Heaney,Lorna Gayle,Lisa McAllister,Peter Brooke,Joshua Rollins,Dale Rivera,Matthew Leitch,Tommy 'Tiny' Lister,Thomas Gaitsch,William Armstrong,Adam Kalesperis,Tristan Tait,Bronson Webb,David Ajala,Gertrude Mosley,Jonathan Ryland,James Scales,Nigel Carrington,Ian Pirie,Lateef Lovejoy,Grahame Edwards,Roger Monk,Ronan Summers,Wai Wong,Michael Corey Foster,Hannah Gunn,Brandon Lambdin","Best Performance by an Actor in a Supporting Role (Heath Ledger), Best Achievement in Sound Editing (Richard King), Best Achievement in Cinematography (Wally Pfister),   Best Achievement in Film Editing (Lee Smith), Best Achievement in Art Direction, Best Achievement in Makeup, Best Achievement in Sound Mixing, Best Achievement in Visual Effects"
7,Inception,2010,8.8,160000000,148,829895144,8,4,Hans Zimmer,Wally Pfister,Lee Smith,1,1,0,0,1,0,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe,Dileep Rao,Cillian Murphy,Tom Berenger,Marion Cotillard,Pete Postlethwaite,Michael Caine,Lukas Haas,Tai-Li Lee,Claire Geare,Magnus Nolan,Taylor Geare,Johnathan Geare,Tohoru Masamune,Yuji Okumoto,Earl Cameron,Ryan Hayward,Miranda Nolan,Russ Fega,Tim Kelleher,Talulah Riley,Nicolas Clerc,Coralie Dedykere,Silvie Laguna,Virgile Bramly,Jean-Michel Dagory,Helena Cullinan,Mark Fleischmann,Shelley Lang,Adam Cole,Jack Murray,Kraig Thornber,Angela Nathenson,Natasha Beaumont,Marc Raducci,Carl Gilliard,Jill Maddrell,Alex Lombard,Nicole Pulliam,Peter Basham,Michael Gaston,Felix Scott,Andrew Pleavin,Lisa Reynolds,Jason Tendell,Jack Gilroy,Shannon Welles","Best Achievement in Cinematography (Wally Pfister), Best Achievement in Sound Mixing, Best Achievement in Sound Editing (Richard King), Best Achievement in Visual Effects, Best Motion Picture of the Year, Best Writing Original Screenplay (Christopher Nolan), Best Achievement in Music Written for Motion Pictures (Hans Zimmer),  Best Achievement in Art Direction"
8,The Dark Knight Rises,2012,8.4,250000000,164,1081041287,0,0,Hans Zimmer,Wally Pfister,Lee Smith,0,0,0,0,0,0,"Christian Bale,Gary Oldman,Tom Hardy,Joseph Gordon-Levitt,Anne Hathaway,Marion Cotillard,Morgan Freeman,Michael Caine,Matthew Modine,Alon Aboutboul,Ben Mendelsohn,Burn Gorman,Daniel Sunjata,Aidan Gillen,Sam Kennard,Aliash Tepina,Nestor Carbonell,Brett Cullen,Nick Julian,Miranda Nolan,Claire Julien,Reggie Lee,Joseph Lyle Taylor,Chris Ellis,Tyler Dean Flores,Juno Temple,Duane Henry,James Harvey Ward,Gonzalo Menendez,Cameron Jack,Lex Daniel,Thomas Lennon,Trevor White,Rob Brown,Fredric Lehne,Courtney Munch,Chris Hill,Travis Guba,Jay Benedict,Will Estes,David Dayan Fisher,Phillip James Griffith,Glen Powell,Ben Cornish,Russ Fega,Andres Perez-Molina, Brent Briscoe,John Nolan,Oliver Cotton,Mark Killeen,Sarah Goldberg,John Macmillan,Robert Wisdom,Ronnie Gene Blevins,John Hollingworth,Ian Bohen,Uri Gavriel,Noel Gugliemi,Max Schuler,Daina Griffith,Hector Atreyu Ruiz,Patrick Cox,Aramis Knight,Josh Stewart,William Devane,Harry Coles,Joey King,Liam Neeson,Julie Mun,Cillian Murphy,David Gyasi,Patrick Jordan,Tom Conti,Joshua Elijah Reese,Desmond Harrington,Mychael Bates,Rory Nolan,Tomas Arana,Peter Holden,David Monahan,Jillian Armenante,Aja Evans,Aldous Davidson,Michael James Faradie,Wade Williams,Antwan Lewis,Jake Canuso,Josh Pence,India Wadsworth,Kevin Kiely Jnr,Daniel Newman,Massi Furlan,Warren Brown,Luke Rutherford,Phillip Browne,Christopher Judge,Aldo Bigante,Charles Jackson Coyne,Patrick Leahy,Todd Gearhart",
9,Interstellar,2014,8.6,165000000,169,677471339,5,1,Hans Zimmer,Hoyte Van Hoytema,Lee Smith,1,0,0,0,0,0,"Ellen Burstyn,Matthew McConaughey,Mackenzie Foy,John Lithgow,Timothée Chalamet,David Oyelowo,Collette Wolfe,Francis X. McCarthy,Bill Irwin,Anne Hathaway,Andrew Borba,Wes Bentley,William Devane,Michael Caine,David Gyasi,Josh Stewart,Casey Affleck,Leah Cairns,Jessica Chastain,William Dickinson,Topher Grace,Matt Damon,Flora Nolan,Griffen Fraser,Jeff Hephner,Lena Georgas,Elyes Gabel,Brooke Smith,Russ Fega","Best Achievement in Visual Effects, Best Achievement in Music Written for Motion Pictures (Hans Zimmer), Best Achievement in Sound Mixing, Best Achievement in Sound Editing (Richard King), Best Achievement in Production Design"
10,Dunkirk,2017,7.9,100000000,106,526940665,8,3,Hans Zimmer,Hoyte Van Hoytema,Lee Smith,1,1,1,0,0,1,"Fionn Whitehead, Damien Bonnard, Aneurin Barnar, Lee Armstrong, James Bloor, Barry Keoghan, Mark Rylance, Tom Glynn-Carney, Tom Hardy, Jack Lowden, Luke Thompson, 	Michel Biel, Constantin Balsan, Billy Howle, Mikey Collins, Callum Blake, Dean Ridge, Bobby Lockwood, 	Will Attenborough, Kenneth Branagh, Tom Nolan, James D'Arcy, Matthew Marsh, Cillian Murphy, Adam Long, Harry Styles, Miranda Nolan, Bradley Hall, Jack Cutmore-Scott, Brett Lorenzini	Brett Lorenzini, Michael Fox, Brian Vernel,Elliott Tittensor, Kevin Guthrie, Harry Richardson, Jochum ten Haaf, Johnny Gibbon, Richard Sanderson, Kim Hartman, Calam Lynch, Charley Palmer Rothwell, Tom Gill, John Nolan, Bill Milner, Jack Riddiford, Harry Collett, Eric Richard","Best Achievement in Film Editing (Lee Smith), Best Achievement in Sound Editing (Richard King &  Alex Gibson), Best Achievement in Sound Mixing, Best Achievement in Music Written for Motion Pictures (Hans Zimmer), Best Motion Picture of the Year, Best Achievement in Directing (Christopher Nolan),  Best Achievement in Cinematography (Hoyte Van Hoytema), Best Achievement in Production Design"
